Paper Id,Image ID,Paper Title,Key Words,Abstract,Conclusion,Paper Type,Summarization,Topic
32,,"A review on deep learning approaches in healthcare systems: Taxonomies, challenges, and open issues","Machine learning , Deep neural network , Healthcare applications , Diagnostics tools , Health data analytics.","In the last few years, the application of Machine Learning approaches like Deep Neural Network (DNN) models have become more attractive in the healthcare system given the rising complexity of the healthcare data. Machine Learning (ML) algorithms provide efficient and effective data analysis models to uncover hidden patterns and other meaningful information from the considerable amount of health data that conventional analytics are not able to discover in a reasonable time. In particular, Deep Learning (DL) techniques have been shown as promising methods in pattern recognition in the healthcare systems. Motivated by this consideration, the contribution of this paper is to investigate the deep learning approaches applied to healthcare systems by reviewing the cutting-edge network architectures, applications, and industrial trends. The goal is first to provide extensive insight into the application of deep learning models in healthcare solutions to bridge deep learning techniques and human healthcare interpretability. And then, to present the existing open challenges and future directions.","As an emerging technique, deep learning has demonstrated tremendous potential in tackling challenging problems in healthcare. In this study, we focused on those problems in healthcare that have been addressed using deep learning with promising results. Deep learning based techniques that have been shown as powerful tools in dealing with disease detection in preprocessing, feature extraction, feature selection, classification, and clustering steps. The technical aspects of ML and DL architectures were evaluated in this paper by focusing on disease detection in healthcare systems. The performance of these methods was discussed in terms of the accuracy of disease detection and algorithm parameters. Finally, the top architectures of DL methods applied to healthcare were analyzed and discussed. As a summary, we can conclude that hybrid and ensemble methods based on DL produce better accuracy results compared to single techniques. These methods lead to an improvement of the process by combining two or more methods simultaneously and independent of the type of the datasets. On the negative side, deep learning approaches are memory and time-consuming. Hence, designing and applying optimal methods in healthcare systems is an important challenge. In the future, researchers may also put their efforts into developing and integrating efficient technologies to fulfill the hardware requirements of decision making systems including those with a deep neural network structure. As discussed in this paper, to build more effective systems, it is also necessary to improve the structures of the current neural network models. Therefore, to solve complex problems in the healthcare systems, it is necessary to create well-defined architectures that are general and work with different types of health data. It is also important to implement deep learning models in terms of Explainable Artificial Intelligence (XAI) to apply in distributed systems which can significantly improve the processing time. To conclude, we believe that there is tremendous potential for the deep learning models and their applications in medicine and healthcare systems especially considering the size and complexity of health data.",Deep Learning and Machine Learning,"This paper explores the use of deep learning techniques in healthcare systems to analyze and uncover meaningful information from large amounts of data. The focus is on disease detection in preprocessing, feature extraction, feature selection, classification, and clustering steps. The paper evaluates the technical aspects of machine learning and deep learning architectures, including the accuracy of disease detection and algorithm parameters. The top architectures of deep learning methods applied to healthcare are also analyzed and discussed. The potential of hybrid and ensemble methods is highlighted, but the challenges of memory and time consumption are noted. Future research efforts should focus on developing efficient technologies and improving neural network models, as well as implementing explainable artificial intelligence in distributed systems. Overall, the paper concludes that deep learning models have tremendous potential in medicine and healthcare systems, given the complexity of health data.",Deep Learning and Machine Learning
33,,A systematic literature review on obesity: Understanding the causes & consequences of obesity and reviewing various machine learning approaches used to predict obesity,"Obesity Overweight,  Machine learning , Risk factors , Diseases.","Obesity is considered a principal public health concern and ranked as the fifth foremost reason for death globally. Overweight and obesity are one of the main lifestyle illnesses that leads to further health concerns and contributes to numerous chronic diseases, including cancers, diabetes, metabolic syndrome, and cardiovascular diseases. The World Health Organization also predicted that 30% of death in the world will be initiated with lifestyle diseases in 2030 and can be stopped through the suitable identification and addressing of associated risk factors and behavioral involvement policies. Thus, detecting and diagnosing obesity as early as possible is crucial. Therefore, the machine learning approach is a promising solution to early predictions of obesity and the risk of overweight because it can offer quick, immediate, and accurate identification of risk factors and condition likelihoods. The present study conducted a systematic literature review to examine obesity research and machine learning techniques for the prevention and treatment of obesity from 2010 to 2020. Accordingly, 93 papers are identified from the review articles as primary studies from an initial pool of over 700 papers addressing obesity. Consequently, this study initially recognized the significant potential factors that influence and cause adult obesity. Next, the main diseases and health consequences of obesity and overweight are investigated. Ultimately, this study recognized the machine learning methods that can be used for the prediction of obesity. Finally, this study seeks to support decision-makers looking to understand the impact of obesity on health in the general population and identify outcomes that can be used to guide health authorities and public health to further mitigate threats and effectively guide obese people globally.","Specific ML approaches can be categorized as either single or hybrid method based on the trends identified in this SLR. As of this writing, the ANN approach is the most often applied ML method in the existing literature. Finally, this SLR also reviewed certain types of diseases related to obesity. The results confirmed that obesity is a healthcare concern and epidemic worldwide and is also well documented as a risk for increasing rates of various other conditions. Therefore, obesity deserves serious consideration and attention from policymakers, healthcare providers, and researchers alike. Obesity prevention must be multifaceted and should actively involve stakeholders at different levels. From potential areas of policy to the development and implementation of these policies, approaches should account for people’s home environments and broad, society-level views of socioeconomic environments. However, many barriers that prevent strategizing on the level of policy alone may be encountered. Instead, the reduction and prevention of obesity will considerably depend on individual lifestyle changes. In this case, further research on motivations for individual and societal behavioral changes is crucial.",Deep Learning and Machine Learning,"The article highlights the importance of identifying and diagnosing obesity as early as possible due to its negative impact on public health. The use of machine learning techniques for the prevention and treatment of obesity is promising as it can offer quick and accurate identification of risk factors and condition likelihoods. The study reviews 93 papers from 2010 to 2020 and identifies significant potential factors that influence and cause adult obesity, main diseases and health consequences of obesity and overweight, and machine learning methods that can be used for the prediction of obesity. The article concludes that obesity is a healthcare concern and epidemic worldwide and deserves serious consideration from policymakers, healthcare providers, and researchers alike. Obesity prevention must be multifaceted and should actively involve stakeholders at different levels, including individual lifestyle changes.",Deep Learning and Machine Learning
34,,An overview of deep learning methods for multimodal medical data mining,"Deep learning , Multimodal medical data , Review.","Deep learning methods have achieved significant results in various fields. Due to the success of these methods, many researchers have used deep learning algorithms in medical analyses. Using multimodal data to achieve more accurate results is a successful strategy because multimodal data provide complementary information. This paper first introduces the most popular modalities, fusion strategies, and deep learning architectures. We also explain learning strategies, including transfer learning, end-to-end learning, and multitask learning. Then, we give an overview of deep learning methods for multimodal medical data analysis. We have focused on articles published over the last four years. We end with a summary of the current state-of-the-art, common problems, and directions for future research.","Deep learning is a powerful technique to analyze complex medical data. Recently, deep learning methods have become very popular in medical analyses because they have achieved outstanding results in this field. Multimodal data improve neural networks’ performance as they provide complementary information. This paper presents a comprehensive overview of the latest studies on multimodal medical data analysis using deep learning algorithms. We divided related articles into four main categories, including supervised, semi-supervised, self-supervised, and unsupervised methods. We observed that many articles on COVID-19 had used transfer learning because they did not access large datasets. We conclude transfer learning methods are invaluable in situations such as pandemics when not enough data is available. Different modalities, deep learning architectures, and fusion strategies are also introduced in this paper. Furthermore, we provided links to access some of the most well-known multimodal datasets and identified common problems and open challenges in this field. We believe that deep learning methods in multimodal medical data analysis will remain an active research area in the coming years.",Deep Learning and Machine Learning,"The paper provides an overview of deep learning methods for multimodal medical data analysis, which has become increasingly popular due to the success of deep learning algorithms in various fields. The paper explains the popular modalities, fusion strategies, deep learning architectures, and learning strategies such as transfer learning, end-to-end learning, and multitask learning. The authors review articles published in the last four years and divide them into supervised, semi-supervised, self-supervised, and unsupervised methods. They conclude that multimodal data improve neural networks' performance by providing complementary information, and transfer learning is valuable when data is limited, such as during a pandemic. The paper also identifies common problems and open challenges in this field and provides links to some of the most well-known multimodal datasets. The authors believe that deep learning methods in multimodal medical data analysis will remain an active research area in the coming years.",Deep Learning and Machine Learning
35,,Application of deep learning for retinal image analysis: A review,"Deep learning , Deep neural network , Convolutional neural network , Auto-encoder , Sparse stacked auto-encoder , De-noised sparse auto-encoder , Softmax , Random forest , Rectified linear unit , Hidden layers.","Retinal image analysis holds an imperative position for the identification and classification of retinal diseases such as Diabetic Retinopathy (DR), Age Related Macular Degeneration (AMD), Macular Bunker, Retinoblastoma, Retinal Detachment, and Retinitis Pigmentosa. Automated identification of retinal diseases is a big step towards early diagnosis and prevention of exacerbation of the disease. A number of state-of-the-art methods have been developed in the past that helped in the automatic segmentation and identification of retinal landmarks and pathologies. However, the current unprecedented advancements in deep learning and modern imaging modalities in ophthalmology have opened a whole new arena for researchers. This paper is a review of deep learning techniques applied to 2-D fundus and 3-D Optical Coherence Tomography (OCT) retinal images for automated classification of retinal landmarks, pathology, and disease classification. The methodologies are analyzed in terms of sensitivity, specificity, Area under ROC curve, accuracy, and F score on publicly available datasets which includes DRIVE, STARE, CHASE_DB1, DRiDB, NIH AREDS, ARIA, MESSIDOR-2, E-OPTHA, EyePACS-1 DIARETDB and OCT image datasets.","Retinal image analysis through DNNs is a nascent field. Although research has been conducted in extraction of retinal landmarks and pathologies but the epitome of this technique is yet to be witnessed. However, unsupervised learning based DNNs have not seen much progress in retinal image analysis. Deep learning techniques can be efficiently applied for segmentation of dot and blot hemorrhages, cotton wool spots, hard exudates, soft exudates, drusen etc. There is no restriction on number of layers and architecture of neural network, network architecture is chosen heuristically in accordance with problem domain. The variants of Deep Neural Networks like AlexNet, LSTM, VggNet, and GoogleNet can be used for extraction of retinal anatomical structures. Although VGG-16 is used by Lee et al. [78] for 3-D OCT retinal image analysis; however, there is no precedence of its use in case of color fundus images. All these networks are very deep and they have capability of extracting much more complex features than those extracted by traditional methods and with better performance measures. This property makes DNN capable of replacing traditional ophthalmologic screening practices.",Deep Learning and Machine Learning,"This paper provides a review of deep learning techniques applied to 2-D fundus and 3-D Optical Coherence Tomography (OCT) retinal images for automated classification of retinal landmarks, pathology, and disease classification. The authors discuss the importance of early detection and prevention of retinal diseases, and how deep learning algorithms can aid in this process. They analyze the methodologies in terms of sensitivity, specificity, accuracy, and F score on publicly available datasets, and conclude that while deep learning has shown promise in retinal image analysis, there is still much progress to be made. They suggest that deep neural networks (DNNs) can be efficiently applied for segmentation of various retinal pathologies, and that DNNs have the potential to replace traditional ophthalmologic screening practices.",Deep Learning and Machine Learning
36,,Applications of machine learning and artificial intelligence for Covid-19 (SARS-CoV-2) pandemic: A review,"Covid-19 , Machine learning , Artificial intelligence , Pandemic.","Background and objective: During the recent global urgency, scientists, clinicians, and healthcare experts around the globe keep on searching for a new technology to support in tackling the Covid-19 pandemic. The evidence of Machine Learning (ML) and Artificial Intelligence (AI) application on the previous epidemic encourage researchers by giving a new angle to fight against the novel Coronavirus outbreak. This paper aims to comprehensively review the role of AI and ML as one significant method in the arena of screening, predicting, forecasting, contact tracing, and drug development for SARS-CoV-2 and its related epidemic. Method: A selective assessment of information on the research article was executed on the databases related to the application of ML and AI technology on Covid-19. Rapid and critical analysis of the three crucial parameters, i.e., abstract, methodology, and the conclusion was done to relate to the model’s possibilities for tackling the SARS-CoV-2 epidemic. Result: This paper addresses on recent studies that apply ML and AI technology towards augmenting the researchers on multiple angles. It also addresses a few errors and challenges while using such algorithms in real-world problems. The paper also discusses suggestions conveying researchers on model design, medical experts, and policymakers in the current situation while tackling the Covid-19 pandemic and ahead. Conclusion: The ongoing development in AI and ML has significantly improved treatment, medication, screening, prediction, forecasting, contact tracing, and drug/vaccine development process for the Covid-19 pandemic and reduce the human intervention in medical practice. However, most of the models are not deployed enough to show their real-world operation, but they are still up to the mark to tackle the SARS-CoV-2 epidemic.","Since the outbreak of the novel SARS-CoV-2, scientists and medical industries around the globe ubiquitously urged to fight against the pandemic, searching alternative method of rapid screening and prediction process, contact tracing, forecasting, and development of vaccine or drugs with the more accurate and reliable operation. Machine Learning and Artificial Intelligence are such promising methods employed by various healthcare providers. This paper addresses on recent studies that apply such advance technology in augmenting the researchers in multiple angles, addressing the troubles and challenges while using such algorithm in assisting medical expert in real-world problems. This paper also discusses suggestions conveying researchers on AI/ML based model design, medical experts, and policymakers on few errors encountered in the current situation while tackling the current pandemic. This review shows that the use of modern technology with AI and ML dramatically improves the screening, prediction, contact tracing, forecasting, and drug/vaccine development with extreme reliability. Majority of the paper employed deep learning algorithms and is found to have more potential, robust, and advance among the other learning algorithms. However, the current urgency requires an improved model with high-end performance accuracy in screening and predicting the SARS-CoV-2 with a different kind of related disease by analyzing the clinical, mammographic, and demographic information of the suspects and infected patients. Finally, it is evident that AI and ML can significantly improve treatment, medication, screening & prediction, forecasting, contact tracing, and drug/vaccine development for the Covid-19 pandemic and reduce the human intervention in medical practice. However, most of the models are not deployed enough to show their real-world operation, but they are still up to the mark to tackle the pandemic.",Deep Learning and Machine Learning,"This paper comprehensively reviews the role of Machine Learning (ML) and Artificial Intelligence (AI) in screening, predicting, forecasting, contact tracing, and drug development for SARS-CoV-2 and its related epidemic. The review shows that the use of modern technology with AI and ML dramatically improves the screening, prediction, contact tracing, forecasting, and drug/vaccine development with extreme reliability. Majority of the paper employed deep learning algorithms and is found to have more potential, robust, and advance among the other learning algorithms. However, the current urgency requires an improved model with high-end performance accuracy in screening and predicting the SARS-CoV-2 with different kinds of related disease by analyzing the clinical, mammographic, and demographic information of the suspects and infected patients. Finally, it is evident that AI and ML can significantly improve treatment, medication, screening & prediction, forecasting, contact tracing, and drug/vaccine development for the Covid-19 pandemic and reduce the human intervention in medical practice.",Deep Learning and Machine Learning
37,,Deep Learning and Medical Diagnosis: A Review of Literature,Deep learning; medical diagnosis; segmentation; CNN,"In this review the application of deep learning for medical diagnosis is addressed. A thorough analysis of various scientific articles in the domain of deep neural networks application in the medical field has been conducted. More than 300 research articles were obtained, and after several selection steps, 46 articles were presented in more detail. The results indicate that convolutional neural networks (CNN) are the most widely represented when it comes to deep learning and medical image analysis. Furthermore, based on the findings of this article, it can be noted that the application of deep learning technology is widespread, but the majority of applications are focused on bioinformatics, medical diagnosis and other similar fields.","Deep learning methods have a wide application in the medical field. In this case, medical diagnosis is conducted through use-cases of deep learning networks. As mentioned before, these include detection, segmentation, classification, prediction and other. The results of the reviewed studies indicate that deep learning methods can be far superior in comparison to other high-performing algorithms. Therefore, it is safe to assume that deep learning is and will continue to diversify its uses. The future development of deep learning promises more applications in various fields of medicine, particularly in the domain of medical diagnosis. However, in the current state, it is not evident that deep learning can substitute the role of doctors/clinicians in medical diagnosis. So far, deep learning can provide good support for experts in the medical field. All indicators point towards an even wider use of deep learning in various fields. Deep learning has already found its application in transportation and greenhouse-gas emission control, traffic control, text classification, object detection, speech detection, translation and in other fields. These applications were not so represented in the past. Traditional approaches to various similarity measures are ineffective when compared to deep learning. Based on these findings, it can be suggested that deep learning and deep neural networks will prevail, and that they will find many other uses in the near future.",Deep Learning and Machine Learning,"This review analyzes the application of deep learning in medical diagnosis and concludes that deep learning methods have a wide range of applications in the medical field, particularly in bioinformatics, medical diagnosis, and similar fields. The review notes that convolutional neural networks are the most widely represented in deep learning and medical image analysis. While deep learning technology is widespread, the majority of its applications are focused on medical diagnosis. The review suggests that deep learning methods can be superior to other high-performing algorithms and will continue to diversify their uses, particularly in the domain of medical diagnosis. However, deep learning cannot replace the role of doctors/clinicians in medical diagnosis, but can provide good support for experts in the medical field. Additionally, the review suggests that deep learning will find many other uses in various fields in the near future.",Deep Learning and Machine Learning
38,,Deep learning for heterogeneous medical data analysis,"Medical Data Analysis , Deep Learning , Survey.","At present, how to make use of massive medical information resources to provide scientific decision-making for the diagnosis and treatment of diseases, summarize the curative effect of various treatment schemes, and better serve the decision-making management, medical treatment, and scientific research, has drawn more and more attention of researchers. Deep learning, as the focus of most concern by both academia and industry, has been effectively applied in many fields and has outperformed most of the machine learning methods. Under this background, deep learning based medical data analysis emerged. In this survey, we focus on reviewing and then categorizing the current development. Firstly, we fully discuss the scope, characteristic and structure of the heterogeneous medical data. Afterward and primarily, the main deep learning models involved in medical data analysis, including their variants and various hybrid models, as well as main tasks in medical data analysis are all analyzed and reviewed in a series of typical cases respectively. Finally, we provide a brief introduction to certain useful online resources of deep learning development tools.","Deep learning is a powerful technology to realize complex medical data analysis tasks. So far, a large number of deep learning models have appeared, from a pure model perspective, some of which may not be new things. The main advantage of deep model is that when the node size of the deep network remains roughly unchanged, more powerful function expression can be obtained by increasing the number of node layers. This capability is often achieved by adjusting network weights and biases. In the process of solving practical problems, such ability can be used to create abstract level representations of static data, sequence data, and decision-making data, etc. Although deep learning has achieved some satisfying results in medical data analysis, it also has problems from different perspectives. For example, most of the learning content of deep structure is only variations of gradient descent algorithms, and some algorithms lack solid theoretical basis and strict theoretical proofs. In addition, deep learning requires considerable skill and experience in trying out the configurations and structures of various deep networks, which involve many variations and a large number of high-dimensional parameters. In addition, in order to better understand the success and failure of deep learning models, appropriate theory should be established to clearly explain the convergence, speed, approximation and other characteristics of learning algorithms, and even to give strict proofs for some contents. Finally, deep learning technology cannot completely replace other technologies. We should also explore the combination of deep learning and traditional models, establish new models and algorithms, and explore and apply a variety of large-scale problems.",Deep Learning and Machine Learning,"This review discusses the application of deep learning in medical data analysis. It highlights the need for scientific decision-making in the diagnosis and treatment of diseases using massive medical information resources. The review explores the scope, characteristics, and structure of heterogeneous medical data and discusses various deep learning models involved in medical data analysis, including their variants and hybrid models. The review also examines different tasks in medical data analysis and provides a brief introduction to useful online resources of deep learning development tools. Deep learning has shown promising results in medical data analysis, but there are challenges such as the lack of solid theoretical basis and the need for considerable skill and experience in configuring deep networks. Furthermore, deep learning technology cannot completely replace other technologies, and exploring the combination of deep learning and traditional models can lead to new models and algorithms for large-scale problems. Overall, deep learning is a powerful technology that can provide abstract level representations of static data, sequence data, and decision-making data.",Deep Learning and Machine Learning
39,,DEEP LEARNING TECHNOLOGY FOR IMPROVING CANCER CARE IN SOCIETY: NEW DIRECTIONS IN CANCER IMAGING DRIVEN BY ARTIFICIAL INTELLIGENCE,"Deep learning, cancer imaging, artificial intelligence, lung cancer, breast cancer, technological paradigm, Amara’s law, Gartner hype cycle, emerging technology, new technology.","The goal of this study is to show emerging applications of deep learning technology in cancer imaging. Deep learning technology is a family of computational methods that allow an algorithm to program itself by learning from a large set of examples that demonstrate the desired behavior. Applications of deep learning technology to cancer imaging can assist pathologists in the detection and classification of cancer in the early stages of its development to allow patients to have appropriate treatments that can increase survival or recovery of patients. Statistical analyses and other analytical approaches, based on data of ScienceDirect (a source for scientific research), suggest that, since the late 1990s, the sharp increase of the studies of deep learning technology in cancer imaging seems to be driven by high rates of mortality of some types of cancer (e.g., lung and breast) in order to solve consequential problems of a more accurate detection and characterization of cancer types to apply efficient anti-cancer therapies. Moreover, this study also shows sources of the trajectories of deep learning technology in cancer imaging at level of scientific subject areas, universities and countries with the highest scientific production in these research fields. This new technology, in accordance with Amara’s law, can generate a shift of technological paradigm for diagnostic assessment of any cancer type and disease. This new technology can also generate benefits for poor regions because they can send digital images to labs of other developed regions to have diagnosis of cancer types, reducing as far as possible current gap in healthcare among different regions.","Deep learning technology has the opportunity to assist pathologists and physicians by improving the efficiency of their work, standardizing quality, and providing better prognostication. Although organizational workflow of pathologists and other physicians is likely to change with deep learning technology, the contributions of pathologists, and in general of humans, to patient care is important, very important to treat diseases. Deep learning technology in oncology, to date, has not been vigorously validated for reproducibility and generalizability of applications in clinical practice. Further research has to determine the feasibility of applying deep learning technology in different clinical settings and to determine whether the use of deep learning technology can improve health care and efficiency of hospitals and research labs. The study here suggests that deep learning technology in oncology can pave a revolution in the management of cancer based on new and effective diagnostic approaches in clinical practice. However, the results and arguments of this study are of course tentative. In fact, analyses here are not sufficient to explain the manifold economic, social and organizational pros and cons of the patterns of deep learning technology in cancer studies, since we know that other factors are often not equal over time and 25 space (cf., Sonntag, 2019). In general, this new technology seems to be subjected to the Amara’s law in which we tend to overestimate the effect of deep learning technology in the short run and underestimate the effect in the long run (Amara, 1984).",Deep Learning and Machine Learning,"This study explores the emerging applications of deep learning technology in cancer imaging, highlighting its potential to improve the detection and classification of cancer in its early stages. The study discusses the trajectory of deep learning technology in cancer imaging research and its potential to revolutionize cancer management through new and effective diagnostic approaches. However, the study also notes that further research is needed to determine the feasibility of applying deep learning technology in different clinical settings and to determine whether its use can improve healthcare and efficiency in hospitals and research labs. The study acknowledges that the results and arguments presented are tentative and subject to the Amara's law, which suggests that the short-term effects of a new technology may be overestimated while the long-term effects may be underestimated.",Deep Learning and Machine Learning
40,,Exploring HCV genome to construct multi-epitope based subunit vaccine to battle HCV infection: Immunoinformatics based approach,"B cell , T cell epitope , HCV , Immunoinformatics , Molecular docking.","Hepatitis C Virus (HCV) infection is a major cause of chronic liver disease, hepatocellular carcinoma, and the single most common indication for liver transplantation. HCV vaccines eliciting specific T-cell responses, have been considered as potent method to prevent HCV infection. Despite several reports on progress of vaccine, these vaccine failed in mediating clinical relevance activity against HCV in humans. In this study we integrated both immunoinformatic and molecular docking approach to present a multiepitope vaccine against HCV by designating 17 conserved epitopes from eight viral proteins such as Core protein, E1, E2, NS2, NS34A, NS4B, NS5A, and NS5B. The epitopes were prioritized based on conservation among epitopes of T cell, B cell and IFN-γ that were then scanned for non-homologous to host and antigenicity. The prioritized epitopes were then linked together by AAY linker and adjuvant (β-defensin) were attached at N-terminal to enhance immunogenic potential. The construct thus formed were subjected to structural modeling and physiochemical characteristics. The modeled structure were successfully docked to antigenic receptor TLR-3 and In-silico cloning confers the authenticity of its expression efficiency. However, the proposed construct need to be validate experimentally to ensure its safety and immunogenic profile.","This study employs multiple approaches including immunoinformatic to design multiepitope vaccine that could be safe and harbors immunogenic potential which may consequently elicit both sort of responses: innate and adaptive thus contribute for control and prevention of HCV. Despite the computational prediction and validation of epitopes, this study warrants further experimental validation. This approach grant a template for the research of other emerging viruses and their subtype.",Medical Data Analysis,"This study presents a novel approach to designing a multiepitope vaccine against Hepatitis C Virus (HCV) using immunoinformatics and molecular docking. The study identified 17 conserved epitopes from eight viral proteins and linked them together using a linker and adjuvant to enhance immunogenic potential. The modeled structure was successfully docked to antigenic receptor TLR-3, and in-silico cloning confirmed the expression efficiency. However, the proposed construct needs further experimental validation to ensure its safety and immunogenic profile. This approach offers a template for research on other emerging viruses and their subtypes. The study concludes that the multiepitope vaccine designed may contribute to the control and prevention of HCV.",Medical Data Analysis
41,,Extraction of Significant Patterns from Heart Disease Warehouses for Heart Attack Prediction,"Data Mining, Disease Diagnosis, Heart Disease, Pre-processing, Frequent Patterns, MAFIA (MAximal Frequent Itemset Algorithm), Clustering, K-Means, Significant Patterns.","The diagnosis of diseases is a significant and tedious task in medicine. The detection of heart disease from various factors or symptoms is a multi-layered issue which is not free from false presumptions often accompanied by unpredictable effects. Thus the effort to utilize knowledge and experience of numerous specialists and clinical screening data of patients collected in databases to facilitate the diagnosis process is considered a valuable option. The healthcare industry gathers enormous amounts of heart disease data that regrettably, are not “mined” to determine concealed information for effective decision making by healthcare practitioners. In this paper, we have proposed an efficient approach for the extraction of significant patterns from the heart disease warehouses for heart attack prediction. Initially, the data warehouse is preprocessed to make it appropriate for the mining process. After preprocessing, the heart disease warehouse is clustered using the K-means clustering algorithm, which will extract the data relevant to heart attack from the warehouse. Subsequently the frequent patterns are mined from the extracted data, relevant to heart disease, using the MAFIA algorithm. Then the significant weightage of the frequent patterns are calculated. Further, the patterns significant to heart attack prediction are chosen based on the calculated significant weightage. These significant patterns can be used in the development of heart attack prediction system.","Data mining in health care management is unlike the other fields owing to the fact that the data present are heterogeneous and that certain ethical, legal, and social constraints apply to private medical information. Health care related data are voluminous in nature and they arrive from diverse sources all of them not entirely appropriate in structure or quality. These days, the exploitation of knowledge and experience of numerous specialists and clinical screening data of patients gathered in a database during the diagnosis procedure, has been widely recognized. In this paper we have presented an efficient approach for extracting significant patterns from the heart disease data warehouses for the efficient prediction of heart attack. The preprocessed heart disease data warehouse was clustered to extract data most relevant to heart attack using K-means clustering algorithm. The frequent items have been mined effectively using MAFIA algorithm. Based on the calculated significant weightage, the frequent patterns having value greater than a predefined threshold were chosen for the valuable prediction of heart attack. In our future work, we have planned to design and develop an efficient heart attack prediction system with the aid of these selected significant patterns using artificial intelligence techniques.",Deep Learning and Machine Learning,"This paper discusses the challenges of diagnosing heart disease and the potential benefits of data mining in healthcare. The authors propose an approach to extract significant patterns from heart disease data warehouses using clustering and frequent pattern mining algorithms. The significant patterns can then be used in the development of a heart attack prediction system. The authors acknowledge the heterogeneous and voluminous nature of healthcare data, as well as ethical, legal, and social constraints related to privacy. They suggest that their approach has the potential to improve healthcare decision-making and call for further development of artificial intelligence techniques in this area.",Deep Learning and Machine Learning
42,,“Velcro-type” crackles predict specific radiologic features of fibrotic interstitial lung disease,"Fibrotic interstitial lung disease, Idiopathic pulmonary fibrosis, Velcro crackles, Lung sounds, Breath sounds","Background: “Velcro-type” crackles on chest auscultation are considered a typical acoustic finding of Fibrotic Interstitial Lung Disease (FILD), however whether they may have a role in the early detection of these disorders has been unknown. This study investigated how “Velcro-type” crackles correlate with the presence of distinct patterns of FILD and individual radiologic features of pulmonary fibrosis on High Resolution Computed Tomography (HRCT). Methods: Lung sounds were digitally recorded from subjects immediately prior to undergoing clinically indicated chest HRCT. Audio files were independently assessed by two chest physicians and both full volume and single HRCT sections corresponding to the recording sites were extracted. The relationships between audible “Velcro-type” crackles and radiologic HRCT patterns and individual features of pulmonary fibrosis were investigated using multivariate regression models. Results: 148 subjects were enrolled: bilateral “Velcro-type” crackles predicted the presence of FILD at HRCT (OR 13.46, 95% CI 5.85–30.96, p < 0.001) and most strongly the Usual Interstitial Pneumonia (UIP) pattern (OR 19.8, 95% CI 5.28–74. 25, p < 0.001). Extent of isolated reticulation (OR 2.04, 95% CI 1.62–2.57, p < 0.001), honeycombing (OR 1.88, 95% CI 1. 24–2.83, < 0.01), ground glass opacities (OR 1.74, 95% CI 1.29–2.32, p < 0.001) and traction bronchiectasis (OR 1.55, 95% CI 1.03–2.32, p < 0.05) were all independently associated with the presence of “Velcro-type” crackles. Conclusions : “Velcro-type” crackles predict the presence of FILD and directly correlate with the extent of distinct radiologic features of pulmonary fibrosis. Such evidence provides grounds for further investigation of lung sounds as an early identification tool in FILD.","In conclusion, we identify that “Velcro-type” crackles not only predict the presence of FILD patterns at HRCT, but are also closely associated to the extent of different interstitial abnormalities in the lung parenchyma. Our finding that individual features of pulmonary fibrosis such as ground glass change and reticulation generate “Velcro-type” crackles warrants further investigation of the role of lung sounds as an early identification tool in FILD. The clinical utility of chest auscultation for assisting diagnosis and clinical management of ILD has been historically hampered by the subjectivity of standard chest auscultation and the poor signal transmission of standard stethoscopes [19]; if electronic auscultation were combined with computerized methods for lung sounds analysis and classification, this cost-effective approach might lead to the definition of an “acoustic signature” of FILD for both diagnostic and prognostic purposes, and this should be a focus of future studies.",Medical Data Analysis,"This study investigated the relationship between ""Velcro-type"" crackles heard on chest auscultation and radiologic features of pulmonary fibrosis on High Resolution Computed Tomography (HRCT). The study found that bilateral ""Velcro-type"" crackles predict the presence of Fibrotic Interstitial Lung Disease (FILD) and are closely associated with the extent of different interstitial abnormalities in the lung parenchyma. Individual features of pulmonary fibrosis, such as ground glass change and reticulation, were found to generate ""Velcro-type"" crackles. The study suggests that lung sounds could be a cost-effective tool for early identification of FILD if combined with computerized methods for analysis and classification.",Medical Data Analysis
